id	created_by_id	updated_by_id	created_at	updated_at	place_published	primary_language_id	first_year_of_issue	last_year_of_issue	translated_from_serial_id	publisher	name
1	1	1	2015-03-11 17:07:25.612753	2015-03-11 17:07:25.612753							Annales de l'Association des Naturalistes de Levallois-Perret
2	1	1	2015-03-11 17:07:25.668532	2015-03-11 17:07:25.668532							Acta Amazonica Supplemento
3	1	1	2015-03-11 17:07:25.688242	2015-03-11 17:07:25.688242	Napoli						Atti dell'Accademia delle Scienze Fisiche e Matematiche, Napoli
4	1	1	2015-03-11 17:07:25.707539	2015-03-11 17:07:25.707539							American Entomologist
5	1	1	2015-03-11 17:07:25.726489	2015-03-11 17:07:25.726489	Pragae						Acta Entomologica Musei Nationalis Pragae
6	1	1	2015-03-11 17:07:25.766133	2015-03-11 17:07:25.766133							Acta Entomologica Musei Nationalis Pragae Supplementum
7	1	1	2015-03-11 17:07:25.787798	2015-03-11 17:07:25.787798							K'un Ch'ung Hsueh Pao
8	1	1	2015-03-11 17:07:25.812131	2015-03-11 17:07:25.812131							Annals of the Entomological Society of Quebec
9	1	1	2015-03-11 17:07:25.832037	2015-03-11 17:07:25.832037	Stuttgart						Archiv für Hydrobiologie, Supplement
10	1	1	2015-03-11 17:07:25.850694	2015-03-11 17:07:25.850694	New Haven, CT						American Journal of Science
11	1	1	2015-03-11 17:07:25.869363	2015-03-11 17:07:25.869363							Australian Journal of Zoology, Supplementary Series
12	1	1	2015-03-11 17:07:25.888385	2015-03-11 17:07:25.888385	Wien						Annalen des K.K. Naturhistorisches Hofmuseums, Wien
13	1	1	2015-03-11 17:07:25.907452	2015-03-11 17:07:25.907452							Archiv für Klassifikatorische und phylogenetische Entomologie
14	1	1	2015-03-11 17:07:25.926094	2015-03-11 17:07:25.926094							Actas y Memorias del Congreso de Naturalistas Españoles
15	1	1	2015-03-11 17:07:25.944775	2015-03-11 17:07:25.944775							Annals of Natural History
17	1	1	2015-03-11 17:07:25.982387	2015-03-11 17:07:25.982387							Actas [Anales] de la [Real] Sociedad Española de Historia Natural
18	1	1	2015-03-11 17:07:26.001662	2015-03-11 17:07:26.001662	Paris						Annales des Sciences Naturelles, Zoologie
19	1	1	2015-03-11 17:07:26.024796	2015-03-11 17:07:26.024796	Bruxelles						Annales. Société R. des Sciences Médicales et Naturelles de Bruxelles
20	1	1	2015-03-11 17:07:26.044522	2015-03-11 17:07:26.044522							Annales de la Société Scientifique de Bruxelles
21	1	1	2015-03-11 17:07:26.068561	2015-03-11 17:07:26.068561	Uppsala						Arkiv för Zoologi
22	1	1	2015-03-11 17:07:26.091634	2015-03-11 17:07:26.091634							Bulletin de l'Academie Royale des Sciences et Belles-Lettres de Bruxelles
23	1	1	2015-03-11 17:07:26.115192	2015-03-11 17:07:26.115192	Bruxelles						Bulletin et Annales de la Société [Royale] Entomologique de Belgique
24	1	1	2015-03-11 17:07:26.136722	2015-03-11 17:07:26.136722	London						Bulletin of the British Museum of Natural History, Geology
25	1	1	2015-03-11 17:07:26.158209	2015-03-11 17:07:26.158209	Honolulu, HI						Bulletin of the Bernice P. Bishop Museum
26	1	1	2015-03-11 17:07:26.181191	2015-03-11 17:07:26.181191							Bulletin of Entomology
27	1	1	2015-03-11 17:07:26.20275	2015-03-11 17:07:26.20275							Behaviorial Ecology and Sociobiology
28	1	1	2015-03-11 17:07:26.222152	2015-03-11 17:07:26.222152							Bulletin of the Entomological Society of Canada
29	1	1	2015-03-11 17:07:26.242678	2015-03-11 17:07:26.242678							Bulletin of the Entomological Society of Quebec
30	1	1	2015-03-11 17:07:26.263781	2015-03-11 17:07:26.263781	Caracas						Boletin de Entomologia Venezolana
31	1	1	2015-03-11 17:07:26.282064	2015-03-11 17:07:26.282064	Bologna						Bollettino Instituto di Entomologia, Bologna [=? ser#80]
32	1	1	2015-03-11 17:07:26.301719	2015-03-11 17:07:26.301719	Bologna						Bollettino dell'Istituto di Entomologia della [R.] Università di Bologna
33	1	1	2015-03-11 17:07:26.322192	2015-03-11 17:07:26.322192	Urbana, IL						Bulletin of the Illinois [State] Natural History Survey
34	1	1	2015-03-11 17:07:26.341742	2015-03-11 17:07:26.341742	Hamburg						Beiträge zur Kenntnis der Land- und Süsswasserfauna Deutsch-Südwestafrikas
35	1	1	2015-03-11 17:07:26.361176	2015-03-11 17:07:26.361176							Bulletin of the Lloyd Library, Entomological Series
36	1	1	2015-03-11 17:07:26.381453	2015-03-11 17:07:26.381453	Portici						Bollettino del Laboratorio de Zoologia Generale e Agraria dell Facoltà Agraria in Portici
37	1	1	2015-03-11 17:07:26.400978	2015-03-11 17:07:26.400978							Beiträge zur Naturkundlichen Forschung in Südwestdeutschland
38	1	1	2015-03-11 17:07:26.423466	2015-03-11 17:07:26.423466							Brotéria
39	1	1	2015-03-11 17:07:26.44541	2015-03-11 17:07:26.44541							Boletín de la [Real] Sociedad Española de Historia Natural
40	1	1	2015-03-11 17:07:26.464732	2015-03-11 17:07:26.464732	Cairo						Bulletin de la Société [Royale] Entomologique d'Egypte
41	1	1	2015-03-11 17:07:26.483045	2015-03-11 17:07:26.483045	Zaragoza						Boletín de la Sociedad Entomologica de España
42	1	1	2015-03-11 17:07:26.502732	2015-03-11 17:07:26.502732							Bulletin Scientifique [or Biologique] de la France et de la Belgique
43	1	1	2015-03-11 17:07:26.520968	2015-03-11 17:07:26.520968	Cairo						Bulletin de la Société Fouad 1er d'Entomologie
45	1	1	2015-03-11 17:07:26.55707	2015-03-11 17:07:26.55707	Moscow						Bulletin de la Société [Impériale] des Naturalistes de Moscou
46	1	1	2015-03-11 17:07:26.579232	2015-03-11 17:07:26.579232	Danzig						Bericht des Westpreussischen Botanischen-Zoologischen Vereins
47	1	1	2015-03-11 17:07:26.597299	2015-03-11 17:07:26.597299							Brotéria (Zoológica)
48	1	1	2015-03-11 17:07:26.614942	2015-03-11 17:07:26.614942	Leipzig						Biologisches Zentralblatt
49	1	1	2015-03-11 17:07:26.658635	2015-03-11 17:07:26.658635							Contributions of the American Entomological Institute
50	1	1	2015-03-11 17:07:26.6819	2015-03-11 17:07:26.6819							Comparative Biochemistry and Physiology (Series A)
51	1	1	2015-03-11 17:07:26.70094	2015-03-11 17:07:26.70094	Berlin						Chromosoma: Zeitschrift für Zellkern- und Chromosomenforschung
52	1	1	2015-03-11 17:07:26.71957	2015-03-11 17:07:26.71957							Collections Zoologiques du Baron Edm. de Selys Longchamps. Catalogue Systématique et Descriptif
53	1	1	2015-03-11 17:07:26.737921	2015-03-11 17:07:26.737921							Comunicari de Zoologie, Prima Consfatuire Nationala de Entomologie [Societatea de Stiinte Biologice din Republica Socialista Romania, Bucuresti]
54	1	1	2015-03-11 17:07:26.756547	2015-03-11 17:07:26.756547	Wien						Denkschriften der Akademie der Wissenschaften, Wien. Mathematische-Naturwissenschaftliche Klasse
55	1	1	2015-03-11 17:07:26.77679	2015-03-11 17:07:26.77679							Deutsch-Ost-Afrikas, Berlin
56	1	1	2015-03-11 17:07:26.796473	2015-03-11 17:07:26.796473							Entomologist's Annual
57	1	1	2015-03-11 17:07:26.815089	2015-03-11 17:07:26.815089							Estudios. Revista Mensual (Academia literaria del Plata, Buenos Aires)
59	1	1	2015-03-11 17:07:26.85694	2015-03-11 17:07:26.85694	Berlin						Entomologische Literaturblätter
60	1	1	2015-03-11 17:07:26.876981	2015-03-11 17:07:26.876981	London						Entomological Magazine, London
61	1	1	2015-03-11 17:07:26.896102	2015-03-11 17:07:26.896102	Dresden						Entomologische Nachrichten, Dresden
62	1	1	2015-03-11 17:07:26.916394	2015-03-11 17:07:26.916394	Wien						Entomologisches Nachrichtenblatt, Wien
63	1	1	2015-03-11 17:07:26.936178	2015-03-11 17:07:26.936178							Entomologické Problémy
66	1	1	2015-03-11 17:07:26.997862	2015-03-11 17:07:26.997862	Philadelphia, PA						Entomological Student
67	1	1	2015-03-11 17:07:27.017279	2015-03-11 17:07:27.017279							Kún-Chóng Fèn Lèi Hsüeh Pao
69	1	1	2015-03-11 17:07:27.06061	2015-03-11 17:07:27.06061							Ergebnisse der Wissenschaftlichen Untersuchungen des Schweizerischen Nationalparks
70	1	1	2015-03-11 17:07:27.080583	2015-03-11 17:07:27.080583	Stuttgart						Entomologische Zeitschrift, Stuttgart
71	1	1	2015-03-11 17:07:27.101389	2015-03-11 17:07:27.101389							Fauna Hungariae
72	1	1	2015-03-11 17:07:27.121305	2015-03-11 17:07:27.121305							Fauna Republicii Socialiste România
73	1	1	2015-03-11 17:07:27.139627	2015-03-11 17:07:27.139627							Fieldiana: Zoology, Chicago Natural History Museum
74	1	1	2015-03-11 17:07:27.158372	2015-03-11 17:07:27.158372							Folia Zoologica et Hydrobiologica
75	1	1	2015-03-11 17:07:27.176883	2015-03-11 17:07:27.176883	Düsseldorf						Gewasser und Abwasser
76	1	1	2015-03-11 17:07:27.195382	2015-03-11 17:07:27.195382	Bruxelles						Genera Insectorum
77	1	1	2015-03-11 17:07:27.214317	2015-03-11 17:07:27.214317	St. Petersburg						Horae Societatis Entomologicae Rossicae
78	1	1	2015-03-11 17:07:27.238157	2015-03-11 17:07:27.238157							International Congress of Entomology
79	1	1	2015-03-11 17:07:27.258088	2015-03-11 17:07:27.258088	Honolulu						Insects of Hawaii
80	1	1	2015-03-11 17:07:27.277276	2015-03-11 17:07:27.277276	Washington						Insecutor Inscitiae Menstruus
81	1	1	2015-03-11 17:07:27.296231	2015-03-11 17:07:27.296231							Insect Life
82	1	1	2015-03-11 17:07:27.3153	2015-03-11 17:07:27.3153	Honolulu						Insects of Micronesia, Bernice P. Bishop Museum
83	1	1	2015-03-11 17:07:27.335098	2015-03-11 17:07:27.335098							Insecta Matsumurana Supplement
84	1	1	2015-03-11 17:07:27.35393	2015-03-11 17:07:27.35393	Belfast						Irish Naturalists' Journal
85	1	1	2015-03-11 17:07:27.372501	2015-03-11 17:07:27.372501	Urbana						Bulletin of the Illinois Natural History Survey
86	1	1	2015-03-11 17:07:27.39113	2015-03-11 17:07:27.39113							Invertebrata Pacifica
87	1	1	2015-03-11 17:07:27.415278	2015-03-11 17:07:27.415278	Rennes						Insecta, Rennes
88	1	1	2015-03-11 17:07:27.434989	2015-03-11 17:07:27.434989							Israel Journal of Entomology
90	1	1	2015-03-11 17:07:27.477159	2015-03-11 17:07:27.477159	Sapporo						Journal of the College of Agriculture, Tohoku Imperial University, Sapporo
91	1	1	2015-03-11 17:07:27.496309	2015-03-11 17:07:27.496309							Journal of Entomology, London
92	1	1	2015-03-11 17:07:27.514937	2015-03-11 17:07:27.514937							Journal of Entomology, Series A [use ser#201 with '(A)']
93	1	1	2015-03-11 17:07:27.534479	2015-03-11 17:07:27.534479							Journal of Entomology, Series B [use ser#201 with '(B)']
94	1	1	2015-03-11 17:07:27.553901	2015-03-11 17:07:27.553901	Southampton						Journal of the Entomological Society of the South of England
95	1	1	2015-03-11 17:07:27.573106	2015-03-11 17:07:27.573106	Chicago, etc.						Journal of Geology
96	1	1	2015-03-11 17:07:27.592132	2015-03-11 17:07:27.592132	Tokyo, etc.						Japanese Journal of Applied Entomology and Zoology
97	1	1	2015-03-11 17:07:27.633621	2015-03-11 17:07:27.633621	Tokyo						Japanese Journal of Genetics
98	1	1	2015-03-11 17:07:27.652136	2015-03-11 17:07:27.652136							Khumbu Himal
99	1	1	2015-03-11 17:07:27.670841	2015-03-11 17:07:27.670841							Los Angeles County Museum, Contributions in Science
100	1	1	2015-03-11 17:07:27.690218	2015-03-11 17:07:27.690218	Boston						Memoirs of the American Academy of Arts and Sciences
101	1	1	2015-03-11 17:07:27.709138	2015-03-11 17:07:27.709138							Memorias de la Academia de Ciencias Exactas, Fisico-Quimicas y Naturales de Zaragoza [use ser#455]
102	1	1	2015-03-11 17:07:27.728013	2015-03-11 17:07:27.728013	Philadelphia						Memoirs of the American Entomological Society
103	1	1	2015-03-11 17:07:27.746793	2015-03-11 17:07:27.746793							Manitoba Entomologist
104	1	1	2015-03-11 17:07:27.767688	2015-03-11 17:07:27.767688							Memorie dell'Accademia Pontifica dei Nuovi Lincei, Rome
105	1	1	2015-03-11 17:07:27.787908	2015-03-11 17:07:27.787908							Musei Barcinonensis Scientiarum Naturalium Opera
106	1	1	2015-03-11 17:07:27.806949	2015-03-11 17:07:27.806949	Ithaca, NY						Memoirs of the Cornell University Agricultural Experiment Station
107	1	1	2015-03-11 17:07:27.826607	2015-03-11 17:07:27.826607							Michigan Entomologist
109	1	1	2015-03-11 17:07:27.869433	2015-03-11 17:07:27.869433							Memoirs of the Entomological Society of Southern Africa
111	1	1	2015-03-11 17:07:27.906503	2015-03-11 17:07:27.906503							Mitteilungen des Naturwissenschaftlichen Vereins für Neu-Vorpommern u. Rugen in Greifswald
112	1	1	2015-03-11 17:07:27.926725	2015-03-11 17:07:27.926725							Miscellaneous Reports of the Yamashina Institute for Ornithology and Zoology [Yamashina Chorui Kenkyujo, Tokyo]
113	1	1	2015-03-11 17:07:27.94583	2015-03-11 17:07:27.94583							Memorias de la Sociedad Cubana de Historia Natural
114	1	1	2015-03-11 17:07:27.964521	2015-03-11 17:07:27.964521							Memorias de la Sociedad Iberica de Ciencias Naturales
